X,Y,FID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Weekdays_O,Weekdays_1,Saturdays_,Saturdays1,Sundays_On,Sundays_Of
-8367874.76834231,4854763.50484593,125,Bus,APC,4,Northbound,17237,Broad St & Jackson St,39.92303,-75.169898,35,7,24,4,13,2
-8367843.37624591,4854942.48107327,126,Bus,APC,4,Northbound,17238,Broad St & Snyder Av,39.924263,-75.169616,116,17,78,11,55,4
-8367812.87470543,4855117.3960723,127,Bus,APC,4,Northbound,17239,Broad St & McKean St,39.925468,-75.169342,51,5,31,5,15,5
-8367786.49198611,4855298.41093519,128,Bus,APC,4,Northbound,17240,Broad St & Mifflin St,39.926715,-75.169105,35,7,25,1,12,2
-8367755.87912614,4855473.47736318,129,Bus,APC,4,Northbound,17241,Broad St & Moore St,39.927921,-75.16883,22,12,9,7,11,4
-8367723.59647381,4855652.32121054,130,Bus,APC,4,Northbound,17243,Broad St & Morris St,39.929153,-75.16854,70,22,40,14,23,8
-8367695.65528162,4855832.32963177,131,Bus,APC,4,Northbound,17244,Broad St & Tasker St,39.930393,-75.168289,38,19,27,8,15,9
-8367668.49332587,4856004.50202757,132,Bus,APC,4,Northbound,17245,Broad St & Dickinson St,39.931579,-75.168045,16,8,22,3,15,2
-8367637.8804659,4856184.51682878,133,Bus,APC,4,Northbound,17246,Broad St & Reed  St,39.932819,-75.16777,21,9,13,5,5,1
-8367605.59781357,4856360.61510842,134,Bus,APC,4,Northbound,17247,Broad St & Wharton St,39.934032,-75.16748,20,8,10,11,9,3
-8367568.19446466,4856584.9162823,135,Bus,APC,4,Northbound,17248,Broad St & Federal St,39.935577,-75.167144,24,27,16,15,12,8
-8367541.92306484,4856734.45321133,136,Bus,APC,4,Northbound,17249,Broad St & Ellsworth St,39.936607,-75.166908,24,13,16,11,6,3
-8367112.11851088,4859303.35547364,137,Bus,APC,4,Northbound,17261,Broad St & Arch St,39.954299,-75.163047,4,19,9,25,8,16
-8367069.70578489,4859565.48126016,138,Bus,APC,4,Northbound,17262,Broad St & Race St,39.956104,-75.162666,211,62,138,31,79,23
-8367008.59138445,4859910.10369351,139,Bus,APC,4,Northbound,17263,Broad St & Vine St - FS,39.958477,-75.162117,18,15,14,11,11,11
-8366983.87845749,4860084.525252,140,Bus,APC,4,Northbound,17264,Broad St & Callowhill St - FS,39.959678,-75.161895,16,16,6,6,8,7
-8366925.32440533,4860420.3062697,141,Bus,APC,4,Northbound,17265,Broad St & Spring Garden St,39.96199,-75.161369,87,42,48,23,37,18
-8366890.48140472,4860664.01603943,142,Bus,APC,4,Northbound,17266,Broad St & Green St,39.963668,-75.161056,17,15,6,5,1,2
-8366842.05742622,4860905.11740629,143,Bus,APC,4,Northbound,17267,Broad St & Wallace St - FS,39.965328,-75.160621,12,14,11,9,7,1
-8366819.12561111,4861039.75909047,144,Bus,APC,4,Northbound,17268,Broad St & Ridge Av,39.966255,-75.160415,37,30,23,24,18,15
-8366780.05246985,4861292.92525919,145,Bus,APC,4,Northbound,17269,Broad St & Brown St,39.967998,-75.160064,17,26,6,8,4,4
-8366758.01121067,4861419.29288759,146,Bus,APC,4,Northbound,17270,Broad St & Parrish St,39.968868,-75.159866,8,11,5,4,2,2
-8366725.72855834,4861595.48400105,147,Bus,APC,4,Northbound,17271,Broad St & Poplar St,39.970081,-75.159576,14,14,4,10,3,7
-8366656.93311303,4862032.12607246,148,Bus,APC,4,Northbound,17273,Broad St & Thompson St,39.973087,-75.158958,17,14,9,6,2,5
